depth,inclination,azimuth,dx,dy,x,y,TVD
450.0,0.0008102847180850858,3.508356506882229e-05,-2.7554538388391832e-24,4.4999976168763716e-08,-2.7554538388391832e-24,4.4999976168763716e-08,-450.0
480.0,0.0008102847180850858,3.508356506882229e-05,-2.9391507614284618e-24,4.799997458001463e-08,-2.9391507614284618e-24,4.799997458001463e-08,-480.0
510.0,0.0008102847180850858,3.508356506882229e-05,-3.1228476840177407e-24,5.099997299126554e-08,-3.1228476840177407e-24,5.099997299126554e-08,-510.0
540.0,0.0008102847180850858,3.508356506882229e-05,-3.3065446066070197e-24,5.399997140251646e-08,-3.3065446066070197e-24,5.399997140251646e-08,-540.0
570.0,0.0008102847180850858,3.508356506882229e-05,-3.490241529196299e-24,5.699996981376737e-08,-3.490241529196299e-24,5.699996981376737e-08,-570.0
600.0,0.0008102847180850858,3.508356506882229e-05,-3.6739384517855776e-24,5.999996822501828e-08,-3.6739384517855776e-24,5.999996822501828e-08,-600.0
630.0,0.0008102847180850858,3.508356506882229e-05,-3.8576353743748565e-24,6.29999666362692e-08,-3.8576353743748565e-24,6.29999666362692e-08,-630.0
660.0,0.0008102847180850858,3.508356506882229e-05,-4.0413322969641355e-24,6.599996504752011e-08,-4.0413322969641355e-24,6.599996504752011e-08,-660.0
690.0,0.0008102847180850858,3.508356506882229e-05,-4.225029219553414e-24,6.899996345877102e-08,-4.225029219553414e-24,6.899996345877102e-08,-690.0
720.0,0.0008102847180850858,3.508356506882229e-05,-4.408726142142693e-24,7.199996187002195e-08,-4.408726142142693e-24,7.199996187002195e-08,-720.0
750.0,0.0008102847180850858,3.508356506882229e-05,-4.5924230647319716e-24,7.499996028127286e-08,-4.5924230647319716e-24,7.499996028127286e-08,-750.0
780.0,0.0008102847180850858,3.508356506882229e-05,-4.7761199873212506e-24,7.799995869252378e-08,-4.7761199873212506e-24,7.799995869252378e-08,-780.0
810.0,0.0008102847180850858,3.508356506882229e-05,-4.9598169099105295e-24,8.099995710377469e-08,-4.9598169099105295e-24,8.099995710377469e-08,-810.0
840.0,0.0008102847180850858,3.508356506882229e-05,-5.1435138324998085e-24,8.39999555150256e-08,-5.1435138324998085e-24,8.39999555150256e-08,-840.0
870.0,0.0008102847180850858,3.508356506882229e-05,-5.3272107550890874e-24,8.699995392627652e-08,-5.3272107550890874e-24,8.699995392627652e-08,-870.0
900.0,0.0008102847180850858,3.508356506882229e-05,-5.5109076776783664e-24,8.999995233752743e-08,-5.5109076776783664e-24,8.999995233752743e-08,-900.0
930.0,0.0008102847180850858,3.508356506882229e-05,-5.6946046002676446e-24,9.299995074877835e-08,-5.6946046002676446e-24,9.299995074877835e-08,-930.0
960.0,0.0008102847180850858,3.508356506882229e-05,-5.8783015228569236e-24,9.599994916002926e-08,-5.8783015228569236e-24,9.599994916002926e-08,-960.0
990.0,0.0008102847180850858,3.508356506882229e-05,-6.0619984454462025e-24,9.899994757128017e-08,-6.0619984454462025e-24,9.899994757128017e-08,-990.0
1020.0,0.0008102847180850858,3.508356506882229e-05,-6.2456953680354815e-24,1.0199994598253109e-07,-6.2456953680354815e-24,1.0199994598253109e-07,-1020.0
1050.0,0.0008102847180850858,3.508356506882229e-05,-6.4293922906247604e-24,1.04999944393782e-07,-6.4293922906247604e-24,1.04999944393782e-07,-1050.0
1080.0,0.0008102847180850858,3.508356506882229e-05,-6.6130892132140394e-24,1.0799994280503291e-07,-6.6130892132140394e-24,1.0799994280503291e-07,-1080.0
1110.0,0.0008102847180850858,3.508356506882229e-05,-6.796786135803318e-24,1.1099994121628383e-07,-6.796786135803318e-24,1.1099994121628383e-07,-1110.0
1140.0,0.0008102847180850858,3.508356506882229e-05,-6.980483058392597e-24,1.1399993962753474e-07,-6.980483058392597e-24,1.1399993962753474e-07,-1140.0
1170.0,0.0008102847180850858,3.508356506882229e-05,-7.164179980981875e-24,1.1699993803878567e-07,-7.164179980981875e-24,1.1699993803878567e-07,-1170.0
1200.0,0.0008102847180850858,3.508356506882229e-05,-7.347876903571155e-24,1.1999993645003657e-07,-7.347876903571155e-24,1.1999993645003657e-07,-1200.0
1230.0,0.0008102847180850858,3.508356506882229e-05,-7.531573826160433e-24,1.2299993486128748e-07,-7.531573826160433e-24,1.2299993486128748e-07,-1230.0
1260.0,0.0008102847180850858,3.508356506882229e-05,-7.715270748749713e-24,1.259999332725384e-07,-7.715270748749713e-24,1.259999332725384e-07,-1260.0
1290.0,0.0008102847180850858,3.508356506882229e-05,-7.898967671338991e-24,1.289999316837893e-07,-7.898967671338991e-24,1.289999316837893e-07,-1290.0
1320.0,0.0008102847180850858,3.508356506882229e-05,-8.082664593928271e-24,1.3199993009504022e-07,-8.082664593928271e-24,1.3199993009504022e-07,-1320.0
1350.0,0.0008102847180850858,3.508356506882229e-05,-8.266361516517549e-24,1.3499992850629114e-07,-8.266361516517549e-24,1.3499992850629114e-07,-1350.0
1380.0,0.0008102847180850858,3.508356506882229e-05,-8.450058439106827e-24,1.3799992691754205e-07,-8.450058439106827e-24,1.3799992691754205e-07,-1380.0
1410.0,0.0008102847180850858,3.508356506882229e-05,-8.633755361696107e-24,1.40999925328793e-07,-8.633755361696107e-24,1.40999925328793e-07,-1410.0
1440.0,0.0008102847180850858,3.508356506882229e-05,-8.817452284285385e-24,1.439999237400439e-07,-8.817452284285385e-24,1.439999237400439e-07,-1440.0
1470.0,0.7326889410572761,89.99999955197553,0.04684688587140345,1.4699990218505777e-07,0.04684688587140345,1.4699990218505777e-07,-1469.9998003088383
1500.0,3.732688941057191,89.999999912177,1.2154507417259097,1.4999728080373514e-07,1.2154507417259097,1.4999728080373514e-07,-1499.9736016536651
1530.0,6.7326889410572335,89.99999995146544,3.9511606222278943,1.5298443571845626e-07,3.9511606222278943,1.5298443571845626e-07,-1529.8451649452102
1560.0,9.732688941057233,89.99999996659537,8.246478136751689,1.5595317934523446e-07,8.246478136751689,1.5595317934523446e-07,-1559.5326143048383
1590.0,12.73268894105722,89.99999997464333,14.089630118553815,1.5889537456414364e-07,14.089630118553815,1.5889537456414364e-07,-1588.954578497404
1620.0,15.732688941057205,89.99999997966094,21.46460089420478,1.6180295702259816e-07,21.46460089420478,1.6180295702259816e-07,-1618.0304139641512
1650.0,18.73268894105722,89.99999998310444,30.351176181436397,1.6466795723918305e-07,30.351176181436397,1.6466795723918305e-07,-1646.680425861102
1680.0,21.73268894105722,89.99999998562609,40.72499849508463,1.674825224474483e-07,40.72499849508463,1.674825224474483e-07,-1674.8260864970848
1710.0,24.73268894105722,89.99999998756171,52.55763390926332,1.7023893811979617e-07,52.55763390926332,1.7023893811979617e-07,-1702.3902505726774
1740.0,27.732688941057226,89.99999998910188,65.8166499927786,1.729296491124648e-07,65.8166499927786,1.729296491124648e-07,-1729.2973666301098
1770.0,30.732688941057205,89.99999999036282,80.46570470416843,1.7554728037365232e-07,80.46570470416843,1.7554728037365232e-07,-1755.4736841345596
1800.0,33.73268894105722,89.99999999141947,96.46464600271236,1.7808465715802114e-07,96.46464600271236,1.7808465715802114e-07,-1780.8474556192405
1830.0,36.73268894105722,89.99999999232233,113.76962190238366,1.8053482469217623e-07,113.76962190238366,1.8053482469217623e-07,-1805.3491333402221
1860.0,39.73268894105722,89.9999999931067,132.33320066709553,1.828910672372155e-07,132.33320066709553,1.828910672372155e-07,-1828.9115599019624
1890.0,42.73268894105722,89.99999999379801,152.10450081779248,1.8514692649610337e-07,152.10450081779248,1.8514692649610337e-07,-1851.4701523310591
1920.0,44.99999999999999,89.99999999427042,172.99634604734496,1.8729954600699783e-07,172.99634604734496,1.8729954600699783e-07,-1872.996346047345
1950.0,44.99999999999999,89.99999999427042,194.20954948294138,1.8942086652607634e-07,194.20954948294138,1.8942086652607634e-07,-1894.2095494829416
1980.0,44.99999999999999,89.99999999427042,215.4227529185378,1.915421870451548e-07,215.4227529185378,1.915421870451548e-07,-1915.422752918538
2010.0,44.99999999999999,89.99999999427042,236.63595635413424,1.9366350756423325e-07,236.63595635413424,1.9366350756423325e-07,-1936.6359563541344
2040.0,44.99999999999999,89.99999999427042,257.84915978973066,1.957848280833117e-07,257.84915978973066,1.957848280833117e-07,-1957.8491597897307
2070.0,44.99999999999999,89.99999999427042,279.0623632253271,1.9790614860239022e-07,279.0623632253271,1.9790614860239022e-07,-1979.0623632253273
2100.0,44.99999999999999,89.99999999427042,300.2755666609236,2.000274691214687e-07,300.2755666609236,2.000274691214687e-07,-2000.2755666609237
2130.0,44.99999999999999,89.99999999427042,321.48877009651994,2.0214878964054717e-07,321.48877009651994,2.0214878964054717e-07,-2021.48877009652
2160.0,44.99999999999999,89.99999999427042,342.7019735321164,2.0427011015962565e-07,342.7019735321164,2.0427011015962565e-07,-2042.7019735321164
2190.0,44.99999999999999,89.99999999427042,363.9151769677128,2.063914306787041e-07,363.9151769677128,2.063914306787041e-07,-2063.915176967713
2220.0,44.99999999999999,89.99999999427042,385.1283804033093,2.0851275119778257e-07,385.1283804033093,2.0851275119778257e-07,-2085.128380403309
2250.0,44.99999999999999,89.99999999427042,406.34158383890565,2.1063407171686108e-07,406.34158383890565,2.1063407171686108e-07,-2106.341583838906
2280.0,44.99999999999999,89.99999999427042,427.5547872745021,2.1275539223593957e-07,427.5547872745021,2.1275539223593957e-07,-2127.5547872745024
2310.0,44.99999999999999,89.99999999427042,448.7679907100985,2.1487671275501802e-07,448.7679907100985,2.1487671275501802e-07,-2148.7679907100987
2340.0,44.99999999999999,89.99999999427042,469.98119414569493,2.1699803327409648e-07,469.98119414569493,2.1699803327409648e-07,-2169.981194145695
2370.0,44.99999999999999,89.99999999427042,491.19439758129135,2.1911935379317497e-07,491.19439758129135,2.1911935379317497e-07,-2191.1943975812915
2400.0,44.99999999999999,89.99999999427042,512.4076010168878,2.2124067431225345e-07,512.4076010168878,2.2124067431225345e-07,-2212.407601016888
2430.0,44.99999999999999,89.99999999427042,533.6208044524842,2.233619948313319e-07,533.6208044524842,2.233619948313319e-07,-2233.620804452484
2460.0,44.99999999999999,89.99999999427042,554.8340078880806,2.2548331535041037e-07,554.8340078880806,2.2548331535041037e-07,-2254.8340078880806
2490.0,44.99999999999999,89.99999999427042,576.0472113236771,2.2760463586948888e-07,576.0472113236771,2.2760463586948888e-07,-2276.0472113236774
2520.0,44.99999999999999,89.99999999427042,597.2604147592735,2.2972595638856737e-07,597.2604147592735,2.2972595638856737e-07,-2297.2604147592738
2550.0,44.99999999999999,89.99999999427042,618.4736181948699,2.3184727690764582e-07,618.4736181948699,2.3184727690764582e-07,-2318.47361819487
2580.0,44.99999999999999,89.99999999427042,639.6868216304663,2.3396859742672428e-07,639.6868216304663,2.3396859742672428e-07,-2339.6868216304665
2610.0,44.99999999999999,89.99999999427042,660.9000250660629,2.3608991794580277e-07,660.9000250660629,2.3608991794580277e-07,-2360.900025066063
2640.0,44.99999999999999,89.99999999427042,682.1132285016593,2.3821123846488125e-07,682.1132285016593,2.3821123846488125e-07,-2382.1132285016593
2665.295714840022,44.99999999999999,89.99999999427042,699.9999999999999,2.399999157627111e-07,699.9999999999999,2.399999157627111e-07,-2400.0
