depth,inclination,azimuth,dx,dy,x,y,TVD
0.0,0.0008102847180850858,359.9999649164779,0.0,0.0,0.0,0.0,0.0
30.0,0.0008102847180850858,359.9999649164779,-5.510914426597387e-25,3.0000020851913116e-09,-5.510914426597387e-25,3.0000020851913116e-09,-30.0
60.0,0.0008102847180850858,359.9999649164779,-1.1021828853194774e-24,6.000004170382623e-09,-1.1021828853194774e-24,6.000004170382623e-09,-60.0
90.0,0.0008102847180850858,359.9999649164779,-1.653274327979216e-24,9.000006255573934e-09,-1.653274327979216e-24,9.000006255573934e-09,-90.0
120.0,0.0008102847180850858,359.9999649164779,-2.204365770638955e-24,1.2000008340765247e-08,-2.204365770638955e-24,1.2000008340765247e-08,-120.0
150.0,0.0008102847180850858,359.9999649164779,-2.7554572132986935e-24,1.500001042595656e-08,-2.7554572132986935e-24,1.500001042595656e-08,-150.0
180.0,0.0008102847180850858,359.9999649164779,-3.306548655958432e-24,1.8000012511147868e-08,-3.306548655958432e-24,1.8000012511147868e-08,-180.0
210.0,0.0008102847180850858,359.9999649164779,-3.8576400986181704e-24,2.100001459633918e-08,-3.8576400986181704e-24,2.100001459633918e-08,-210.0
240.0,0.0008102847180850858,359.9999649164779,-4.40873154127791e-24,2.4000016681530493e-08,-4.40873154127791e-24,2.4000016681530493e-08,-240.0
270.0,0.0008102847180850858,359.9999649164779,-4.9598229839376484e-24,2.7000018766721806e-08,-4.9598229839376484e-24,2.7000018766721806e-08,-270.0
300.0,0.0008102847180850858,359.9999649164779,-5.510914426597387e-24,3.000002085191312e-08,-5.510914426597387e-24,3.000002085191312e-08,-300.0
330.0,0.0008102847180850858,359.9999649164779,-6.062005869257126e-24,3.300002293710443e-08,-6.062005869257126e-24,3.300002293710443e-08,-330.0
360.0,0.0008102847180850858,359.9999649164779,-6.613097311916864e-24,3.6000025022295736e-08,-6.613097311916864e-24,3.6000025022295736e-08,-360.0
390.0,0.0008102847180850858,359.9999649164779,-7.164188754576602e-24,3.900002710748705e-08,-7.164188754576602e-24,3.900002710748705e-08,-390.0
420.0,0.0008102847180850858,359.9999649164779,-7.715280197236341e-24,4.200002919267836e-08,-7.715280197236341e-24,4.200002919267836e-08,-420.0
450.0,0.0008102847180850858,359.9999649164779,-8.266371639896081e-24,4.5000031277869674e-08,-8.266371639896081e-24,4.5000031277869674e-08,-450.0
